appid,name,price,developer,publisher,average_forever,median_forever,ccu,genres
589141,Negligee: Love Stories - Soundtrack,499.0,Dharker Studio,Dharker Studios Ltd,0,0,0,"Casual, Indie"
589230,Knot - Soundtrack Pack,399.0,Warlock Arts,Warlock Arts,0,0,0,"Casual, Indie, Simulation"
588810,Husk - Original Soundtrack,0.0,"UndeadScout, Arkadiusz Reikowski",IMGN.PRO,0,0,0,"Violent, Action, Adventure, Indie"
587910,Linelight OST,499.0,My Dog Zorro,,0,0,0,"Action, Adventure, Casual, Indie"
587990,Poi - Soundtrack,499.0,PolyKid,PolyKid,0,0,0,"Action, Adventure, Indie"
588280,Once on a windswept night - Original Soundtrack,99.0,ebi-hime,ebi-hime,0,0,0,"Casual, Free to Play, Indie"
587660,Leaving Lyndow Original Soundtrack,0.0,Eastshade Studios LLC,Eastshade Studios LLC,0,0,0,"Adventure, Indie"
587780,A House of Many Doors: Soundtrack,699.0,Pixel Trickery,,0,0,0,"Indie, RPG"
587800,Kronos Soundtrack,99.0,UroboroStudio,UroboroStudio,0,0,0,"Action, Indie, RPG"
587820,Sweetest Monster - Original Soundtrack,199.0,ebi-hime,ebi-hime,0,0,0,"Sexual Content, Nudity, Adventure, Casual, Indie"
587200,Mages of Mystralia - Original Soundtrack,999.0,Borealys Games,Borealys Games,0,0,0,"Action, Adventure, Indie"
586500,EvilMorph Soundtrack,99.0,HateBit,ClickGames,0,0,0,"Action, Adventure, Indie"
586870,Zero Escape: The Nonary Games - Mini-OST,,,,0,0,0,
586900,GIGA WRECKER Soundtrack,124.0,GAME FREAK inc.,,0,0,0,"Action, Adventure"
586070,Sky Rogue Original Soundtrack,399.0,The Otherworld Agency,Boss Battle Records,0,0,0,"Action, Simulation"
585730,The Crow's Eye - Soundtrack,299.0,3D2 Entertainment,Akupara Games,0,0,0,"Adventure, Indie"
584630,Asura Soundtrack,99.0,Ogre Head Studio,Ogre Head Studio,0,0,0,"Action, Indie"
584790,SPLIT BULLET Original Soundtrack,0.0,IndigoBlue Game Studio,PsychoFlux Entertainment,0,0,0,"Action, Casual, Indie"
584950,Amber's Magic Shop MP3 OST + Wallpapers,499.0,Winter Wolves,Winter Wolves,0,0,0,Indie
584380,Crypt of the NecroDancer: AMPLIFIED OST - Danny Baranowsky,299.0,Brace Yourself Games,,0,0,0,"Action, Indie, RPG"
584381,Crypt of the NecroDancer: AMPLIFIED OST - FamilyJules7X and A_Rival,199.0,Brace Yourself Games,,0,0,0,"Action, Indie, RPG"
584382,Crypt of the NecroDancer: AMPLIFIED OST - Virt and Girlfriend Records,199.0,Brace Yourself Games,,0,0,0,"Action, Indie, RPG"
584383,Crypt of the NecroDancer: AMPLIFIED OST - OCRemix,399.0,Brace Yourself Games,,0,0,0,"Action, Indie, RPG"
584030,Conclave Soundtrack,399.0,10x10 Room,,0,0,0,"Indie, RPG"
584120,Splasher - Official Soundtrack,399.0,Splashteam,Dear Villagers,0,0,0,"Action, Indie"
584141,Hearts of Iron IV: Sabaton Soundtrack Vol. 2,599.0,Paradox Development Studio,Paradox Interactive,0,0,0,"Simulation, Strategy"
584180,Dark Quest 2 Soundtrack,149.0,Brain Seal Ltd,Brain Seal Ltd,0,0,0,"Indie, RPG, Strategy"
583810,Resident Evil 7 biohazard Original Soundtrack,999.0,"CAPCOM CO., LTD.","CAPCOM CO., LTD.",0,0,0,"Violent, Gore, Action, Adventure"
583670,Loot Rascals Soundtrack,349.0,Hollow Ponds,,0,0,0,"Adventure, Indie, RPG"
583260,Alone With You - Official Soundtrack,499.0,"BancyCo, Ivor Stines",,0,0,0,"Adventure, Indie"
582930,Hive Jump OST,99.0,Graphite Lab,Graphite Lab,0,0,0,"Action, Indie"
581830,When Our Journey Ends - OST,599.0,Afterthought Studios,,0,0,0,"Casual, Simulation"
581880,Lotia - Soundtrack,599.0,Crayon Ponyfish,,0,0,0,"Indie, RPG"
581940,SteelLIFE - Soundtrack,99.0,AxiPLAY,AxiPLAY,0,0,0,"Adventure, Casual, Indie"
581990,Nihilist Simulator OST,199.0,hyperboreanGames,Back To Basics Gaming,0,0,0,"Action, Casual, Indie, Simulation"
580700,A Normal Lost Phone - Official Soundtrack,299.0,Accidental Queens,PID Games,0,0,0,"Casual, Indie"
579960,Milkmaid of the Milky Way - Soundtrack,69.0,Mattis Folkestad,machineboy,0,0,0,"Adventure, Indie"
580120,Westboro Soundtrack,199.0,Carbomb Software,,0,0,0,"Action, RPG"
580160,Laraan SoundTrack,299.0,Flynn's Arcade,Flynn's Arcade,0,0,0,"Action, Adventure, Indie"
579730,Phoning Home Soundtrack,599.0,ION LANDS,ION LANDS,0,0,0,"Action, Adventure, Indie"
579740,2Dark Official Soundtrack and Artbook,119.0,Gloomywood,Nacon,0,0,0,"Adventure, Indie"
579750,Cavern escape - Soundtrack.,199.0,White Dog Games,SA Industry,0,0,0,"Action, Adventure, Casual, Indie"
579860,Depths of Limbo - Soundtrack,99.0,"Bibiki, Evgiz",,0,0,0,"Action, Adventure, Indie"
579890,The Mooseman Soundtrack and Artbook DLC,299.0,"Vladimir Beletsky, Mikhail Shvachko",Vladimir Beletsky,0,0,0,"Adventure, Indie"
579510,LoveKami -Divinity Stage- Original Soundtrack,99.0,MoeNovel,MoeNovel,0,0,0,"Nudity, Adventure, Casual, Simulation"
579090,Pocket Kingdom - OST,199.0,08 Games,Plug In Digital,0,0,0,"Adventure, Indie"
579100,Mainlining - Soundtrack,999.0,Rebelephant,,0,0,0,"Adventure, Indie, Simulation"
579140,Elderine: Dreams to Destiny Soundtrack,99.0,Black Alchemy Games,,0,0,0,"Indie, RPG"
578680,Frog Hop Soundtrack,499.0,Tiny Warrior Games,Tiny Warrior Games,0,0,0,"Action, Adventure, Indie"
578970,Rocketbirds OST Compilation,499.0,"Ratloop Asia, New World Revolution",,0,0,0,"Violent, Action, Adventure, Indie"
578290,Cladun Returns: This Is Sengoku! - Digital Soundtrack,,,,0,0,0,
578340,Earthfall Soundtrack,249.0,Holospark,,0,0,0,Action
578400,The Grey Man Official Soundtrack,199.0,ATTACK MOUNTAIN,ATTACK MOUNTAIN,0,0,0,"Adventure, Casual, Indie"
577810,The Jackbox Party Pack 3 - Soundtrack,499.0,"Jackbox Games, Inc.","Jackbox Games, Inc.",0,0,0,"Casual, Indie, Strategy"
577930,The Jackbox Party Pack 2 - Soundtrack,499.0,"Jackbox Games, Inc.","Jackbox Games, Inc.",0,0,0,"Casual, Indie, Strategy"
578000,Lucid9 - Soundtrack,0.0,Fallen Snow Studios,Sekai Project,0,0,0,"Casual, Free to Play, Simulation"
578070,Corona Blossom Soundtrack,1299.0,Frontwing,Frontwing USA,0,0,0,Casual
577450,ABZU - Official Soundtrack,499.0,Giant Squid,505 Games,0,0,0,"Action, Adventure, Casual, Indie, Simulation"
577600,Diluvion - Original Soundtrack,599.0,Arachnid Games,Good Shepherd Entertainment,0,0,0,"Action, Adventure, Indie, RPG"
577630,Dungeon Rushers - Soundtrack,499.0,Goblinz Studio,Goblinz Publishing,0,0,0,"Adventure, Indie, RPG, Strategy"
577130,TY the Tasmanian Tiger Soundtrack,499.0,Krome Studios,,0,0,0,"Action, Adventure, Indie"
577220,Animal Lover - Original Soundtrack,799.0,Trainwreck Studios,Trainwreck Studios,0,0,0,"Sexual Content, Nudity, Casual, Indie, Simulation"
576920,Ladykiller in a Bind — Original Soundtrack,104.0,Love Conquers All Games,Love Conquers All Games,0,0,0,"Sexual Content, Nudity, Indie"
577020,"Planes, Bullets and Vodka: Soundtrack",0.0,NukGames,NukGames,0,0,0,"Action, Casual, Indie"
577030,The Tenth Line - Digital Art Book + Soundtrack,59.0,Sungazer Software LLC,Sungazer Software LLC,0,0,0,"Indie, RPG"
577100,Boundel Soundtrack by James Thorley,99.0,James Thorley,Eren Aydin,0,0,0,"Indie, Massively Multiplayer, RPG"
576210,Soda Drinker Pro - Soundtrack,0.0,Snowrunner Games,,0,0,0,"Action, Simulation"
576610,Galaxy Girls - Soundtrack,199.0,Dharker Studio,Dharker Studios Ltd,0,0,0,"Adventure, Casual, Indie"
575930,Mad Nords: Probably an Epic Quest Soundtrack,59.0,Dragon's Games,,0,0,0,"Adventure, Indie, RPG"
575610,Seduce Me 2: The Demon War Soundtrack,999.0,"Michaela Laws, Christopher Escalante",,0,0,0,"Adventure, Casual, Indie, RPG, Simulation"
575190,Gnomes vs. Fairies: Greckel's Quest - OST,199.0,Prismic Studios LLC,,0,0,0,"Action, Adventure, Casual, Indie, RPG"
574750,Zombie Playground™ OST,799.0,Stealth Studios Inc.,,0,0,0,"Violent, Gore, Action, Adventure, Indie, RPG"
574790,Bedfellows Frenzy Original Sound Track,499.0,"Krispy Animation, Husky In Denial",,0,0,0,"Sexual Content, Violent, Action, Casual, Indie"
574020,99Vidas - Soundtrack,79.0,QUByte Interactive,QUByte Interactive,0,0,0,"Action, Indie"
574320,Gunmetal Arcadia OST,399.0,Minor Key Games,Minor Key Games,0,0,0,"Action, Adventure, Indie"
574400,Wand Wars - Soundtrack,299.0,Moonradish Inc.,,0,0,0,"Action, Indie, Sports"
573850,BalanCity - Original Soundtrack,0.0,Fernando Cordoba,,0,0,0,"Casual, Indie, Simulation, Strategy"
573190,Einlanzer Soundtrack,49.0,Andrew Ryan Henke,,0,0,0,RPG
573010,Witanlore: Dreamtime - Official Soundtrack,999.0,Druid Gameworks Studio LLC,,0,0,0,"Adventure, Indie, RPG"
572530,Lost Socks: Naughty Brothers OST,199.0,Nerf Game Co. Ltd.,,0,0,0,"Action, Indie"
572750,Nevermind Soundtrack Vol. 2,999.0,Flying Mollusk,"Flying Mollusk, LLC, Derek Baird Music (ASCAP)",0,0,0,"Adventure, Indie"
572780,Ahnayro - Original Soundtrack,999.0,Alice & Smith,,0,0,0,"Adventure, Casual, Indie, Strategy"
572910,Rakuen Original Soundtrack,999.0,Laura Shigihara,Laura Shigihara,0,0,0,"Adventure, Indie, RPG"
572280,MAGICAL×SPIRAL ORIGINAL SOUND TRACK,999.0,Broken Desk,Sekai Project,0,0,0,"Action, Adventure, Casual, Indie"
571440,Angel Express (Tokkyu Tenshi) OST,0.0,Easy Game Station,"Rockin' Android, Inc. ",0,0,0,Indie
571470,Sceal OST,99.0,Joint Custody,,0,0,0,"Adventure, Casual, Indie"
571580,Akihabara - Feel the Rhythm - Soundtrack,399.0,JMJ Interactive,JMJ Interactive,0,0,0,Indie
571670,Heroine Anthem Zero - Original Soundtrack,449.0,WindThunder Studio,Skywalker HK,0,0,0,"Adventure, Indie, RPG"
570800,Memory's Dogma CODE:01 - Original Soundtrack,499.0,Liz-Arts,Sekai Project,0,0,0,"Adventure, Casual, Indie"
570930,Redout - Soundtrack,499.0,34BigThings srl,,0,0,0,"Indie, Racing"
571010,ASTRONEER (Original Soundtrack),599.0,"System Era Softworks, Rutger Zuydervelt",System Era Softworks,0,0,0,"Adventure, Indie"
571120,Event[0] - Soundtrack,89.0,Ocelot Society,,0,0,0,"Adventure, Indie"
571160,Void & Nothingness Soundtrack,199.0,Francesco Cossello,"Vysoko Anime Production, Vorance Audio",0,0,0,"Sexual Content, Adventure, Indie"
571170,Ghostlight Manor Soundtrack,499.0,Digital Future Lab,Functional Unicorn Entertainment,0,0,0,"Adventure, Casual, Indie, Strategy"
571210,OneShot OST,599.0,Little Cat Feet,Komodo,0,0,0,"Adventure, Casual, Indie"
571220,hackmud OST,499.0,Drizzly Bear,,0,0,0,"Indie, Massively Multiplayer, RPG, Simulation"
571250,Hieroglyphika - Soundtrack,199.0,M. Hanka,Liu Lidan,0,0,0,"Indie, RPG, Strategy"
570450,Juno's Darkest Hour - Soundtrack,99.0,Thomas Bernatchez,Antoine Bilodeau,0,0,0,"Action, Adventure, Indie"
570481,Birthdays the Beginning - Digital Soundtrack,399.0,"ARC SYSTEM WORKS Co., Ltd., TOYBOX Inc.","NIS America, Inc.",0,0,0,Simulation
569190,Breaking Wheel OST,299.0,Insane Mind Games,,0,0,0,"Action, Adventure, Casual, Indie"
569310,Hero Game Soundtrack,299.0,Bakershah Games,,0,0,0,"Action, Adventure, RPG"
568590,Massive - Original Soundtrack,2499.0,Rootify,Rootify,0,0,0,"Action, Adventure, Indie"
568700,Gun Brothers - Original Soundtrack,2499.0,Rootify,Rootify,0,0,0,"Action, Adventure, Indie"
568710,Santa Rockstar OST,499.0,Bekho Team,,0,0,0,"Casual, Indie"
567970,SteamHammerVR - The Soundtrack,0.0,GamestormVR,,0,0,0,"Action, Adventure, Indie, Strategy"
